case_s,target_fpr,1st_reject_rate,remote_delta,sys_delta,sys_obj,sys_s05,sys_s1,sys_s2
imdb,0.01,0.00 (local_baseline),,0.98424,0.7989108347557506,0.8301746684361947,0.8819444599679165,0.9406004142017428
imdb,0.01,0.55 (remote-even),0.959709090909091,0.97788,0.9058371170286743,0.9193837808586193,0.9404809161550092,0.9625690249227582
imdb,0.01,0.68 (best),0.9655294117647059,0.9766,0.9123080073725169,0.9244801704490613,0.9433598635005322,0.9630267531549516
imdb,0.01,1.00 (remote_baseline),,0.97592,0.9076153783096975,0.9205005412816546,0.9405291880366903,0.9614488047226616
imdb,0.05,0.00 (local_baseline),,0.92528,0.8151046169808058,0.8349894701475223,0.8667049715807938,0.900924906296707
imdb,0.05,0.55 (remote-even),0.8628363636363636,0.9246,0.9193164611723988,0.920368332645734,0.9219506608879158,0.9235384392842226
imdb,0.05,0.68 (best),0.8848823529411765,0.92176,0.927529942718278,0.9263701825010953,0.9246359700018604,0.9229082384394872
imdb,0.05,1.00 (remote_baseline),,0.92048,0.9233877976707805,0.9228047693466689,0.9219316060226125,0.9210600935211286
imdb,0.1,0.00 (local_baseline),,0.8632,0.828174235403151,0.8349501313136003,0.8453244527868823,0.8559598213215663
imdb,0.1,0.55 (remote-even),0.7638545454545455,0.87016,0.9254389997241886,0.9138283721767233,0.8969485950077877,0.8806810975905087
imdb,0.1,0.68 (best),0.8028235294117647,0.86596,0.9353318859993534,0.9205823516213923,0.8993101077015463,0.8789987517224243
imdb,0.1,1.00 (remote_baseline),,0.86208,0.9340664439495174,0.9187231777696645,0.8966306758700262,0.8755757388212568
Issues,0.01,0.00 (local_baseline),,0.978923967311657,0.7196484360836005,0.7599015906008296,0.8294978779973208,0.9131275016492086
Issues,0.01,0.30 (default),0.9397640240115918,0.9819419260289625,0.7990436337106979,0.8299616682266823,0.8811014108185765,0.9389571257946164
Issues,0.01,0.50 (default),0.961946397078914,0.9809856181226558,0.8221989776126367,0.849706420207514,0.8946010011185254,0.9445042642997606
Issues,0.01,0.70 (default),0.9731556722614527,0.9812215902034328,0.8310246296094862,0.8572693120262502,0.8998990309912919,0.9469903375209878
Issues,0.01,1.00 (remote_baseline),,0.9810973943714449,0.8333326424443954,0.8592141852271339,0.9011981366684677,0.9474958104997888
Issues,0.05,0.00 (local_baseline),,0.9127524280285154,0.744309818100863,0.7728341352736704,0.8199699139412802,0.8732288472512474
Issues,0.05,0.30 (default),0.7453115297039951,0.9236071437442559,0.8158705462876655,0.8353590800320607,0.8664024485510798,0.8998421167201326
Issues,0.05,0.50 (default),0.8390422017437095,0.9195335204550535,0.844558201229132,0.858558937246337,0.8804526051105648,0.9034920900896899
Issues,0.05,0.70 (default),0.8829707959263333,0.9180928488039941,0.857031989698651,0.8685856326676239,0.8865122315592199,0.905194392750304
Issues,0.05,1.00 (remote_baseline),,0.9174842892272536,0.8602987064876939,0.8711583359516002,0.8879717593738834,0.9054469558178845
Issues,0.1,0.00 (local_baseline),,0.8410293350555156,0.7696912083640783,0.7829739543573204,0.80378050408945,0.8257230575633523
Issues,0.1,0.30 (default),0.5491616642517078,0.8647631585483991,0.8248405245282929,0.8325274124047216,0.8443301875276845,0.8564724321737376
Issues,0.1,0.50 (default),0.7098040189771231,0.8549144290717604,0.8629178331045372,0.8613051866991737,0.8588974871036568,0.8565032109904896
Issues,0.1,0.70 (default),0.7873567297115077,0.8511637149457264,0.8802385599122745,0.8742657626554299,0.8654570154759154,0.8568240043775771
Issues,0.1,1.00 (remote_baseline),,0.8492014208003179,0.8861809544377879,0.8785296211075534,0.8672971862947462,0.8563483499810759
ImageNet,0.01,0.00 (local_baseline),,0.9586,0.7005007302315878,0.7403690179186215,0.8094746602953611,0.8928089645723473
ImageNet,0.01,0.30 (default),0.9338666666666666,0.98018,0.8101165092125936,0.8392384713080735,0.8870709359191485,0.9406853750196987
ImageNet,0.01,0.50 (default),0.95824,0.97914,0.8483567212043222,0.8716416766566829,0.9090686624625999,0.9498539666531708
ImageNet,0.01,0.70 (default),0.9699142857142857,0.97896,0.8599738497997875,0.8813995127084921,0.9156174922677714,0.9525996258585175
ImageNet,0.01,1.00 (remote_baseline),,0.97916,0.8617182074431146,0.8828973921269638,0.9166929094912144,0.9531786505562111
ImageNet,0.05,0.00 (local_baseline),,0.86044,0.7488959137185626,0.768829526054087,0.8008023614051875,0.8355498535200427
ImageNet,0.05,0.30 (default),0.7332,0.91998,0.8282571360246962,0.8451087623765299,0.871712405941291,0.9000454311181021
ImageNet,0.05,0.50 (default),0.83776,0.9189,0.8674502122102514,0.8772740370089379,0.892434187374432,0.9081275159259293
ImageNet,0.05,0.70 (default),0.8907428571428572,0.92354,0.8747644931459384,0.8841030325757618,0.8984907762608118,0.9133545542779953
ImageNet,0.05,1.00 (remote_baseline),,0.92798,0.8725188042845751,0.883074280807588,0.8993952098976536,0.9163307838018068
ImageNet,0.1,0.00 (local_baseline),,0.77098,0.791771511582661,0.7875239788508391,0.7812374462294174,0.7750504852106114
ImageNet,0.1,0.30 (default),0.5338,0.86016,0.8392392113095238,0.8433415575052232,0.849570830909982,0.8558928131374117
ImageNet,0.1,0.50 (default),0.69196,0.846,0.8926004728132387,0.8828741482872876,0.8686757099267365,0.8549267238287536
ImageNet,0.1,0.70 (default),0.7832571428571429,0.8483,0.9022279853825298,0.8909007467993213,0.8744333211362533,0.8585636155965014
ImageNet,0.1,1.00 (remote_baseline),,0.85924,0.8927191471532983,0.8858162163174734,0.8756596878944021,0.8657334233274897
SQuADv2 (possible only),0.01,0.00 (local_baseline),,0.9731160033869602,0.6430280617794214,0.6898269108973176,0.774362770041833,0.8825114397858344
SQuADv2 (possible only),0.01,0.33 (remote-even),0.9351732991014121,0.97883149872989,0.7028546712802768,0.7448564066731205,0.8181981912527927,0.9075605275475179
SQuADv2 (possible only),0.01,0.58 (best),0.959109163928441,0.9765029635901779,0.731628007804032,0.7702591610172296,0.8365130424197832,0.9152372189408796
SQuADv2 (possible only),0.01,1.00 (remote_baseline),,0.974809483488569,0.7055374592833876,0.7467949547288366,0.8185983367593324,0.9056781337246305
SQuADv2 (possible only),0.05,0.00 (local_baseline),,0.8975444538526672,0.6686320754716981,0.7045712609670898,0.7663593468183438,0.8400262985172422
SQuADv2 (possible only),0.05,0.33 (remote-even),0.7869062901155327,0.9299322607959356,0.7097655360801275,0.7450442232076532,0.8050677031578898,0.8756100416413857
SQuADv2 (possible only),0.05,0.58 (best),0.873311427528295,0.9267569856054191,0.739835541343079,0.7709341186682773,0.8228139092814418,0.8821799566878751
SQuADv2 (possible only),0.05,1.00 (remote_baseline),,0.9295088907705334,0.709861079480756,0.7450740586928227,0.804970441770616,0.8753387851398227
SQuADv2 (possible only),0.1,0.00 (local_baseline),,0.8128704487722269,0.6997395833333333,0.719774437638551,0.7520743840844275,0.7874094585351166
SQuADv2 (possible only),0.1,0.33 (remote-even),0.616816431322208,0.8738357324301439,0.7156007751937985,0.7424909608614286,0.7868417826313079,0.836827563004837
SQuADv2 (possible only),0.1,0.58 (best),0.778751369112815,0.8719305673158341,0.7450837581937363,0.7674120899534498,0.8035319090632672,0.8432197717161154
SQuADv2 (possible only),0.1,1.00 (remote_baseline),,0.8767993226079593,0.7129406084017383,0.7406225311726503,0.7864252892098204,0.8382667143227541
SQuADv2 (all),0.01,0.00 (local_baseline),,0.8886493579529477,0.3117814576521464,0.35829958739846657,0.4616082635708678,0.6486272376607666
SQuADv2 (all),0.01,0.51 (remote-even),0.9250137842308399,0.9618520948542506,0.31816410056519195,0.3673286302263026,0.47816083535688053,0.6847743184489131
SQuADv2 (all),0.01,0.72 (best),0.9438875146465304,0.9596963164307808,0.32981736497704855,0.3796530136169581,0.49092074760744464,0.6944477041947028
SQuADv2 (all),0.01,1.00 (remote_baseline),,0.9572593495172931,0.31822187408205227,0.3672556310036887,0.47765636772971726,0.682961448824394
SQuADv2 (all),0.05,0.00 (local_baseline),,0.7565844971412503,0.35133795837462833,0.3934907562762899,0.4798473958896884,0.6147656820329228
SQuADv2 (all),0.05,0.51 (remote-even),0.791766219444955,0.8938982097666136,0.3285100136311209,0.37608449899361845,0.4804524502609118,0.6649971102555906
SQuADv2 (all),0.05,0.72 (best),0.8622575185522718,0.9009279220170587,0.3371826883062838,0.3854166969521397,0.4907110821650611,0.6751630859805917
SQuADv2 (all),0.05,1.00 (remote_baseline),,0.9112381666510451,0.3207159020777618,0.36847326694564086,0.4744471860492863,0.6659868151062067
SQuADv2 (all),0.1,0.00 (local_baseline),,0.6501077889211735,0.38739907727797,0.4214616258661291,0.48549299433926346,0.5724659916406164
SQuADv2 (all),0.1,0.51 (remote-even),0.6223120749862158,0.8074796138344738,0.3445153801508996,0.389137355631376,0.4829693663196899,0.6364308173861275
SQuADv2 (all),0.1,0.72 (best),0.7755500585861216,0.8385040772331053,0.34317013190252627,0.38914666515966584,0.4870201152911227,0.6506683208507922
SQuADv2 (all),0.1,1.00 (remote_baseline),,0.8576248945543162,0.32284153005464483,0.36884062117437927,0.4690975150141802,0.6442021657315518
